Cookie_ID,Exposures
1,0
2,0
3,3
4,49
5,4
6,1
7,5
8,0
9,7
10,27
11,6
12,4
13,0
14,0
15,7
16,0
17,0
18,6
19,0
20,4
21,0
22,0
23,5
24,0
25,0
26,0
27,0
28,0
29,5
30,0
31,0
32,1
33,0
34,0
35,8
36,6
37,5
38,1
39,0
40,0
41,0
42,0
43,3
44,2
45,13
46,32
47,4
48,1
49,0
50,1
51,7
52,0
53,0
54,2
55,0
56,0
57,0
58,0
59,4
60,19
61,0
62,0
63,0
64,4
65,10
66,9
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,0
75,1
76,0
77,4
78,0
79,0
80,0
81,0
82,0
83,12
84,3
85,0
86,5
87,0
88,2
89,0
90,5
91,1
92,14
93,0
94,0
95,1
96,0
97,17
98,0
99,3
100,0
101,3
102,23
103,0
104,2
105,0
106,14
107,0
108,0
109,0
110,0
111,19
112,2
113,5
114,0
115,0
116,1
117,0
118,1
119,0
120,0
121,0
122,0
123,6
124,0
125,0
126,0
127,0
128,5
129,0
130,31
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,2
139,0
140,0
141,27
142,0
143,2
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,6
152,6
153,0
154,2
155,20
156,0
157,1
158,18
159,2
160,0
161,0
162,10
163,0
164,2
165,0
166,0
167,3
168,2
169,6
170,0
171,0
172,4
173,12
174,0
175,0
176,3
177,0
178,0
179,0
180,10
181,1
182,0
183,0
184,0
185,1
186,1
187,0
188,1
189,0
190,1
191,0
192,11
193,0
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,2
205,0
206,0
207,3
208,17
209,15
210,0
211,8
212,3
213,0
214,1
215,0
216,0
217,3
218,0
219,3
220,1
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,8
234,0
235,8
236,0
237,0
238,0
239,1
240,3
241,3
242,0
243,2
244,11
245,0
246,0
247,3
248,6
249,0
250,0
251,5
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,12
260,0
261,7
262,11
263,0
264,0
265,0
266,0
267,11
268,3
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,2
